Fixed in,Bug Report,CVE ID,Advisory Impact,Announced,Description,NVD Publish Date,CWE,CVSS2 Severity,Affected Versions
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1704722,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1706041,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/buglist.cgi?bug_id=1660307%2C1686154%2C1702948%2C1708124,CVE-2021-29966,moderate,"June  1, 2021","Mozilla developers Christian Holler, Tooru Fujisawa, Tyson Smith reported memory safety bugs present in Firefox 88. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1660307,CVE-2021-29966,moderate,"June  1, 2021","Mozilla developers Christian Holler, Tooru Fujisawa, Tyson Smith reported memory safety bugs present in Firefox 88. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1686154,CVE-2021-29966,moderate,"June  1, 2021","Mozilla developers Christian Holler, Tooru Fujisawa, Tyson Smith reported memory safety bugs present in Firefox 88. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1702948,CVE-2021-29966,moderate,"June  1, 2021","Mozilla developers Christian Holler, Tooru Fujisawa, Tyson Smith reported memory safety bugs present in Firefox 88. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1708124,CVE-2021-29966,moderate,"June  1, 2021","Mozilla developers Christian Holler, Tooru Fujisawa, Tyson Smith reported memory safety bugs present in Firefox 88. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox88.0.1,https://bugzilla.mozilla.org/show_bug.cgi?id=1701684,CVE-2021-29953,critical,"May  5, 2021","A malicious webpage could have forced a Firefox for Android user into executing attacker-controlled JavaScript in the context of another domain, resulting in a Universal Cross-Site Scripting vulnerability.<br><em>Note: This issue only affected Firefox for Android. Other operating systems are unaffected. Further details are being temporarily withheld to allow users an opportunity to update.</em>",-,-,-,-
firefox88.0.1,https://bugzilla.mozilla.org/show_bug.cgi?id=1704227,CVE-2021-29952,high,"May  5, 2021","When Web Render components were destructed, a race condition could have caused undefined behavior, and we presume that with enough effort may have been exploitable to run arbitrary code.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1699077,CVE-2021-23994,high,"April 19, 2021","A WebGL framebuffer was not initialized early enough, resulting in memory corruption and an out of bound write.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1699835,CVE-2021-23995,high,"April 19, 2021","When Responsive Design Mode was enabled, it used references to objects that were previously freed. We presume that with enough effort this could have been exploited to run arbitrary code.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1701834,CVE-2021-23996,high,"April 19, 2021","By utilizing 3D CSS in conjunction with Javascript, content could have been rendered outside the webpage's viewport, resulting in a spoofing attack that could have been used for phishing or other attacks on a user.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1701942,CVE-2021-23997,high,"April 19, 2021","Due to unexpected data type conversions, a use-after-free could have occurred when interacting with the font cache. We presume that with enough effort this could have been exploited to run arbitrary code.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1667456,CVE-2021-23998,moderate,"April 19, 2021","Through complicated navigations with new windows, an HTTP page could have inherited a secure lock icon from an HTTPS page.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1691153,CVE-2021-23999,moderate,"April 19, 2021","If a Blob URL was loaded through some unusual user interaction, it could have been loaded by the System Principal and granted additional privileges that should not be granted to web content.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1694698,CVE-2021-24000,moderate,"April 19, 2021","A race condition with <code>requestPointerLock()</code> and <code>setTimeout()</code> could have resulted in a user interacting with one tab when they believed they were on a separate tab. In conjunction with certain elements (such as <code>&lt;input type=""file""&gt;</code>) this could have led to an attack where a user was confused about the origin of the webpage and potentially disclosed information they did not intend to.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1694727,CVE-2021-24001,moderate,"April 19, 2021",A compromised content process could have performed session history manipulations it should not have been able to due to testing infrastructure that was not restricted to testing-only configurations.,-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1702374,CVE-2021-24002,moderate,"April 19, 2021","When a user clicked on an FTP URL containing encoded newline characters (%0A and %0D), the newlines would have been interpreted as such and allowed arbitrary commands to be sent to the FTP server.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1700690,CVE-2021-29945,moderate,"April 19, 2021","The WebAssembly JIT could miscalculate the size of a return type, which could lead to a null read and result in a crash.
<br><em>Note: This issue only affected x86-32 platforms. Other platforms are unaffected.</em>",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1697604,CVE-2021-29944,low,"April 19, 2021","Lack of escaping allowed HTML injection when a webpage was viewed in Reader View. While a Content Security Policy prevents direct code execution, HTML injection is still possible.<br><em>Note: This issue only affected Firefox for Android. Other operating systems are unaffected.</em>",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1698503,CVE-2021-29946,low,"April 19, 2021",Ports that were written as an integer overflow above the bounds of a 16-bit integer could have bypassed port blocking restrictions when used in the Alt-Svc header.,-,-,-,-
firefox88,https://bugzilla.mozilla.org/buglist.cgi?bug_id=1651449%2C1674142%2C1693476%2C1696886%2C1700091,CVE-2021-29947,high,"April 19, 2021","Mozilla developers and community members Ryan VanderMeulen, Sean Feng, Tyson Smith, Julian Seward, Christian Holler reported memory safety bugs present in Firefox 87. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1651449,CVE-2021-29947,high,"April 19, 2021","Mozilla developers and community members Ryan VanderMeulen, Sean Feng, Tyson Smith, Julian Seward, Christian Holler reported memory safety bugs present in Firefox 87. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1674142,CVE-2021-29947,high,"April 19, 2021","Mozilla developers and community members Ryan VanderMeulen, Sean Feng, Tyson Smith, Julian Seward, Christian Holler reported memory safety bugs present in Firefox 87. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1693476,CVE-2021-29947,high,"April 19, 2021","Mozilla developers and community members Ryan VanderMeulen, Sean Feng, Tyson Smith, Julian Seward, Christian Holler reported memory safety bugs present in Firefox 87. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1696886,CVE-2021-29947,high,"April 19, 2021","Mozilla developers and community members Ryan VanderMeulen, Sean Feng, Tyson Smith, Julian Seward, Christian Holler reported memory safety bugs present in Firefox 87. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1700091,CVE-2021-29947,high,"April 19, 2021","Mozilla developers and community members Ryan VanderMeulen, Sean Feng, Tyson Smith, Julian Seward, Christian Holler reported memory safety bugs present in Firefox 87. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1692972,CVE-2021-29955,high,"March 23, 2021","A transient execution vulnerability, named Floating Point Value Injection (FPVI) allowed an attacker to leak arbitrary memory addresses and may have also enabled JIT type confusion attacks. (A related vulnerability, Speculative Code Store Bypass (SCSB), did not affect Firefox.)",-,-,-,-
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1692832,CVE-2021-23981,high,"March 23, 2021","A texture upload of a Pixel Buffer Object could have confused the WebGL code to skip binding the buffer used to unpack it, resulting in memory corruption and a potentially exploitable information leak or crash.",03/31/2021,CWE-119,5.8 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1690062,CVE-2021-29951,moderate,"March 23, 2021","The Mozilla Maintenance Service granted SERVICE_START access to <code>BUILTIN|Users</code> which, in a domain network, grants normal remote users access to start or stop the service. This could be used to prevent the browser update service from operating (if an attacker spammed the 'Stop' command); but also exposed attack surface in the maintenance service.<br><em>Note: This issue only affected Windows operating systems older than Win 10 build 1709. Other operating systems are unaffected.</em>",-,-,-,-
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1677046,CVE-2021-23982,moderate,"March 23, 2021","Using techniques that built on the slipstream research, a malicious webpage could have scanned both an internal network's hosts as well as services running on the user's local machine utilizing WebRTC connections.",03/31/2021,CWE-326,4.3 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1692684,CVE-2021-23983,moderate,"March 23, 2021","By causing a transition on a parent node by removing a CSS rule, an invalid property for a marker could have been applied, resulting in memory corruption and a potentially exploitable crash.",03/31/2021,CWE-119,4.3 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1693664,CVE-2021-23984,moderate,"March 23, 2021","A malicious extension could have opened a popup window lacking an address bar. The title of the popup lacking an address bar should not be fully controllable, but in this situation was. This could have been used to spoof a website and attempt to trick the user into providing credentials.",03/31/2021,CWE-290,4.3 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1659129,CVE-2021-23985,low,"March 23, 2021","If an attacker is able to alter specific about:config values (for example malware running on the user's computer), the Devtools remote debugging feature could have been enabled in a way that was unnoticable to the user. This would have allowed a remote attacker (able to make a direct network connection to the victim) to monitor the user's browsing activity and (plaintext) network traffic. This was addressed by providing a visual cue when Devtools has an open network socket.",03/31/2021,CWE-668,4.3 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1692623,CVE-2021-23986,low,"March 23, 2021","A malicious extension with the 'search' permission could have installed a new search engine whose favicon referenced a cross-origin URL.  The response to this cross-origin request could have been read by the extension, allowing a same-origin policy bypass by the extension, which should not have cross-origin permissions.  This cross-origin request was made without cookies, so the sensitive information disclosed by the violation was limited to local-network resources or resources that perform IP-based authentication.",03/31/2021,CWE-346,4.3 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/buglist.cgi?bug_id=1513519%2C1683439%2C1690169%2C1690718,CVE-2021-23987,high,"March 23, 2021","Mozilla developers and community members Matthew Gregan, Tyson Smith, Julien Wajsberg, and Alexis Beingessner reported memory safety bugs present in Firefox 86 and Firefox ESR 78.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",03/31/2021,CWE-119,6.8 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1513519,CVE-2021-23987,high,"March 23, 2021","Mozilla developers and community members Matthew Gregan, Tyson Smith, Julien Wajsberg, and Alexis Beingessner reported memory safety bugs present in Firefox 86 and Firefox ESR 78.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",03/31/2021,CWE-119,6.8 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1683439,CVE-2021-23987,high,"March 23, 2021","Mozilla developers and community members Matthew Gregan, Tyson Smith, Julien Wajsberg, and Alexis Beingessner reported memory safety bugs present in Firefox 86 and Firefox ESR 78.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",03/31/2021,CWE-119,6.8 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1690169,CVE-2021-23987,high,"March 23, 2021","Mozilla developers and community members Matthew Gregan, Tyson Smith, Julien Wajsberg, and Alexis Beingessner reported memory safety bugs present in Firefox 86 and Firefox ESR 78.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",03/31/2021,CWE-119,6.8 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1690718,CVE-2021-23987,high,"March 23, 2021","Mozilla developers and community members Matthew Gregan, Tyson Smith, Julien Wajsberg, and Alexis Beingessner reported memory safety bugs present in Firefox 86 and Firefox ESR 78.8. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",03/31/2021,CWE-119,6.8 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/buglist.cgi?bug_id=1684994%2C1686653,CVE-2021-23988,moderate,"March 23, 2021",Mozilla developers Tyson Smith and Christian Holler reported memory safety bugs present in Firefox 86. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,03/31/2021,CWE-119,6.8 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1684994,CVE-2021-23988,moderate,"March 23, 2021",Mozilla developers Tyson Smith and Christian Holler reported memory safety bugs present in Firefox 86. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,03/31/2021,CWE-119,6.8 MEDIUM,<87.0
firefox87,https://bugzilla.mozilla.org/show_bug.cgi?id=1686653,CVE-2021-23988,moderate,"March 23, 2021",Mozilla developers Tyson Smith and Christian Holler reported memory safety bugs present in Firefox 86. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,03/31/2021,CWE-119,6.8 MEDIUM,<87.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1542194,CVE-2021-23969,high,"February 23, 2021","As specified in the W3C Content Security Policy draft, when creating a violation report, ""User agents need to ensure that the source file is the URL requested by the page, pre-redirects. If that’s not possible, user agents need to strip the URL down to an origin to avoid unintentional leakage."" Under certain types of redirects, Firefox incorrectly set the source file to be the destination of the redirects. This was fixed to be the redirect destination's origin.",02/25/2021,CWE-noinfo,4.3 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1681724,CVE-2021-23970,high,"February 23, 2021",Context-specific code was included in a shared jump table; resulting in assertions being triggered in multithreaded wasm code.,02/25/2021,CWE-617,4.3 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1687342,CVE-2021-23968,high,"February 23, 2021","If Content Security Policy blocked frame navigation, the full destination of a redirect served in the frame was reported in the violation report; as opposed to the original frame URI. This could be used to leak sensitive information contained in such URIs.",02/25/2021,CWE-209,4.3 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/buglist.cgi?bug_id=1528997%2C1683627,CVE-2021-23974,moderate,"February 23, 2021",The DOMParser API did not properly process <code>&lt;noscript&gt;</code> elements for escaping. This could be used as an mXSS vector to bypass an HTML Sanitizer.,02/25/2021,CWE-noinfo,4.3 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1528997,CVE-2021-23974,moderate,"February 23, 2021",The DOMParser API did not properly process <code>&lt;noscript&gt;</code> elements for escaping. This could be used as an mXSS vector to bypass an HTML Sanitizer.,02/25/2021,CWE-noinfo,4.3 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1683627,CVE-2021-23974,moderate,"February 23, 2021",The DOMParser API did not properly process <code>&lt;noscript&gt;</code> elements for escaping. This could be used as an mXSS vector to bypass an HTML Sanitizer.,02/25/2021,CWE-noinfo,4.3 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1678545,CVE-2021-23971,moderate,"February 23, 2021","When processing a redirect with a conflicting Referrer-Policy, Firefox would have adopted the redirect's Referrer-Policy. This would have potentially resulted in more information than intended by the original origin being provided to the destination of the redirect.",02/25/2021,CWE-noinfo,4.3 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1684627,CVE-2021-23976,moderate,"February 23, 2021","When accepting a malicious intent from other installed apps, Firefox for Android accepted manifests from arbitrary file paths and allowed declaring webapp manifests for other origins. This could be used to gain fullscreen access for UI spoofing and could also lead to cross-origin attacks on targeted websites.<br><em>Note: This issue is a different issue from CVE-2020-26954 and only affected Firefox for Android. Other operating systems are unaffected.</em>",02/25/2021,CWE-1021,5.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1684761,CVE-2021-23977,moderate,"February 23, 2021",Firefox for Android suffered from a time-of-check-time-of-use vulnerability that allowed a malicious application to read sensitive data from application directories.<br><em>Note: This issue is only affected Firefox for Android. Other operating systems are unaffected.</em>,02/25/2021,CWE-367,2.6 LOW,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1683536,CVE-2021-23972,low,"February 23, 2021","One phishing tactic on the web is to provide a link with HTTP Auth. For example <code>https://www.phishingtarget.com@evil.com</code>. To mitigate this type of attack, Firefox will display a warning dialog; however, this warning dialog would not have been displayed if evil.com used a redirect that was cached by the browser.",02/25/2021,CWE-noinfo,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1685145,CVE-2021-23975,low,"February 23, 2021","The developer page about:memory has a Measure function for exploring what object types the browser has allocated and their sizes. When this function was invoked we incorrectly called the sizeof function, instead of using the API method that checks for invalid pointers.",02/25/2021,CWE-862,4.3 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1690976,CVE-2021-23973,low,"February 23, 2021","When trying to load a cross-origin resource in an audio/video context a decoding error may have resulted, and the content of that error may have revealed information about the resource.",02/25/2021,CWE-209,4.3 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/buglist.cgi?bug_id=786797%2C1682928%2C1687391%2C1687597,CVE-2021-23978,high,"February 23, 2021","Mozilla developers Alexis Beingessner, Tyson Smith, Nika Layzell, and Mats Palmgren reported memory safety bugs present in Firefox 85 and Firefox ESR 78.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-noinfo,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=786797,CVE-2021-23978,high,"February 23, 2021","Mozilla developers Alexis Beingessner, Tyson Smith, Nika Layzell, and Mats Palmgren reported memory safety bugs present in Firefox 85 and Firefox ESR 78.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-noinfo,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1682928,CVE-2021-23978,high,"February 23, 2021","Mozilla developers Alexis Beingessner, Tyson Smith, Nika Layzell, and Mats Palmgren reported memory safety bugs present in Firefox 85 and Firefox ESR 78.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-noinfo,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1687391,CVE-2021-23978,high,"February 23, 2021","Mozilla developers Alexis Beingessner, Tyson Smith, Nika Layzell, and Mats Palmgren reported memory safety bugs present in Firefox 85 and Firefox ESR 78.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-noinfo,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1687597,CVE-2021-23978,high,"February 23, 2021","Mozilla developers Alexis Beingessner, Tyson Smith, Nika Layzell, and Mats Palmgren reported memory safety bugs present in Firefox 85 and Firefox ESR 78.7. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-noinfo,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/buglist.cgi?bug_id=1663222%2C1666607%2C1672120%2C1678463%2C1678927%2C1679560%2C1681297%2C1681684%2C1683490%2C1684377%2C1684902,CVE-2021-23979,high,"February 23, 2021","Mozilla developers Tyson Smith, Lars T Hansen, Valentin Gosu, and Sebastian Hengst reported memory safety bugs present in Firefox 85. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-119,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1663222,CVE-2021-23979,high,"February 23, 2021","Mozilla developers Tyson Smith, Lars T Hansen, Valentin Gosu, and Sebastian Hengst reported memory safety bugs present in Firefox 85. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-119,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1666607,CVE-2021-23979,high,"February 23, 2021","Mozilla developers Tyson Smith, Lars T Hansen, Valentin Gosu, and Sebastian Hengst reported memory safety bugs present in Firefox 85. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-119,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1672120,CVE-2021-23979,high,"February 23, 2021","Mozilla developers Tyson Smith, Lars T Hansen, Valentin Gosu, and Sebastian Hengst reported memory safety bugs present in Firefox 85. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-119,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1678463,CVE-2021-23979,high,"February 23, 2021","Mozilla developers Tyson Smith, Lars T Hansen, Valentin Gosu, and Sebastian Hengst reported memory safety bugs present in Firefox 85. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-119,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1678927,CVE-2021-23979,high,"February 23, 2021","Mozilla developers Tyson Smith, Lars T Hansen, Valentin Gosu, and Sebastian Hengst reported memory safety bugs present in Firefox 85. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-119,6.8 MEDIUM,<86.0
firefox86,https://bugzilla.mozilla.org/show_bug.cgi?id=1679560,CVE-2021-23979,high,"February 23, 2021","Mozilla developers Tyson Smith, Lars T Hansen, Valentin Gosu, and Sebastian Hengst reported memory safety bugs present in Firefox 85. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",02/26/2021,CWE-119,6.8 MEDIUM,<86.0
